Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
физ. лицо,списание средств,2524.31,безналичный,Могилев,Беларусбанк-OXJP-191,14-07-2002,02:44:36,недостаточно средств,да,90.18
юр. лицо,списание средств,4569.52,безналичный,Гомель,Приорбанк-PMXA-191,14-11-2023,16:20:34,недостаточно средств,да,255.79
юр. лицо,списание средств,2613.67,безналичный,Гомель,БелАгропромбанк-JIHK-685,27-11-2023,06:50:13,недостаточно средств,нет,0.0
юр. лицо,списание средств,1699.73,безналичный,Минск,Приорбанк-IPBX-532,14-10-2011,09:25:36,недостаточно средств,да,26.08
физ. лицо,списание средств,3441.04,наличный,Гродно,МаксБанк-UFAZ-276,13-12-2018,12:15:44,недостаточно средств,нет,0.0
физ. лицо,списание средств,2551.9,наличный,Гродно,МаксБанк-WQFC-230,13-09-2021,08:45:31,недостаточно средств,нет,0.0
физ. лицо,списание средств,4225.57,наличный,Брест,Белинвестбанк-YRFB-835,23-10-2009,11:10:32,недостаточно средств,да,400.59
физ. лицо,списание средств,4454.76,безналичный,Гродно,БелАгропромбанк-IOVO-989,27-08-2012,02:14:03,недостаточно средств,да,87.93
юр. лицо,списание средств,1343.76,безналичный,Витебск,МаксБанк-JSCQ-719,02-10-2012,02:52:06,недостаточно средств,нет,0.0
юр. лицо,списание средств,4988.42,безналичный,Гомель,Приорбанк-ADTO-635,25-07-2002,13:22:45,недостаточно средств,да,435.07
физ. лицо,списание средств,207.51,безналичный,Витебск,БелАгропромбанк-KAPO-738,20-01-2021,05:28:45,недостаточно средств,да,20.34
физ. лицо,списание средств,2666.87,безналичный,Витебск,Белинвестбанк-YQAV-887,05-04-2013,06:19:00,недостаточно средств,нет,0.0
физ. лицо,списание средств,4355.5,наличный,Могилев,БелАгропромбанк-RYZG-598,19-07-2013,04:45:27,недостаточно средств,нет,0.0
физ. лицо,списание средств,469.07,безналичный,Гомель,БелАгропромбанк-MLBN-538,01-11-2007,02:05:43,недостаточно средств,нет,0.0
юр. лицо,списание средств,862.57,безналичный,Брест,Беларусбанк-GVMD-727,09-01-2002,21:49:17,недостаточно средств,да,72.74
физ. лицо,списание средств,3447.78,безналичный,Брест,Приорбанк-HNPN-561,13-02-2017,09:16:34,недостаточно средств,нет,0.0
физ. лицо,списание средств,524.0,безналичный,Могилев,БелАгропромбанк-XHPL-110,26-01-2020,11:27:31,недостаточно средств,да,20.3
физ. лицо,списание средств,2710.73,наличный,Минск,Приорбанк-HMLE-031,08-09-2017,17:52:33,недостаточно средств,нет,0.0
физ. лицо,списание средств,3980.28,наличный,Гродно,Приорбанк-TMQC-574,26-11-2010,06:24:26,недостаточно средств,да,261.81
юр. лицо,списание средств,2766.45,безналичный,Гомель,Приорбанк-JUCL-395,25-02-2018,19:44:19,недостаточно средств,нет,0.0
физ. лицо,списание средств,2353.64,наличный,Гродно,Приорбанк-ZYHB-959,06-07-2018,14:29:45,недостаточно средств,нет,0.0
физ. лицо,списание средств,2531.29,безналичный,Гродно,Приорбанк-LAWQ-266,13-12-2022,04:37:43,недостаточно средств,нет,0.0
юр. лицо,списание средств,713.51,наличный,Гомель,МаксБанк-PPOB-407,24-11-2019,23:58:10,недостаточно средств,да,54.96
юр. лицо,списание средств,2906.65,безналичный,Могилев,Беларусбанк-LZTN-368,01-10-2010,10:11:06,недостаточно средств,нет,0.0
физ. лицо,списание средств,3066.28,наличный,Гродно,Приорбанк-YNTY-828,05-03-2005,17:52:17,недостаточно средств,да,101.09
физ. лицо,списание средств,3940.13,безналичный,Гомель,Беларусбанк-LVGA-674,23-09-2002,01:14:52,недостаточно средств,нет,0.0
физ. лицо,списание средств,3226.67,наличный,Минск,Белинвестбанк-YFXW-910,21-02-2001,12:59:18,недостаточно средств,да,249.3
физ. лицо,списание средств,4070.64,наличный,Гродно,Беларусбанк-IATE-098,12-09-2000,14:08:41,недостаточно средств,нет,0.0
юр. лицо,списание средств,3202.29,наличный,Гродно,БелАгропромбанк-YBEK-090,27-01-2001,02:57:44,недостаточно средств,да,251.18
юр. лицо,списание средств,2973.51,безналичный,Гомель,Приорбанк-ZTEQ-543,06-03-2003,01:08:28,недостаточно средств,нет,0.0
юр. лицо,списание средств,309.42,безналичный,Гродно,БелАгропромбанк-UTOH-213,14-04-2017,20:57:10,недостаточно средств,нет,0.0
юр. лицо,списание средств,2162.55,наличный,Брест,МаксБанк-ARNM-097,18-04-2020,14:32:50,недостаточно средств,нет,0.0
юр. лицо,списание средств,4365.15,безналичный,Могилев,Белинвестбанк-SFWR-426,13-07-2020,12:22:54,недостаточно средств,да,70.55
физ. лицо,списание средств,2583.48,наличный,Гомель,Белинвестбанк-EZYJ-162,16-11-2016,07:40:16,недостаточно средств,да,210.34
юр. лицо,списание средств,2829.44,безналичный,Могилев,БелАгропромбанк-MFAZ-793,15-12-2007,17:20:38,недостаточно средств,да,245.96
юр. лицо,списание средств,261.62,безналичный,Гомель,Белинвестбанк-IWDV-078,31-12-2017,13:55:14,недостаточно средств,да,15.04
физ. лицо,списание средств,1591.11,наличный,Гомель,Белинвестбанк-TXUA-433,10-06-2013,16:28:57,недостаточно средств,нет,0.0
физ. лицо,списание средств,4718.95,безналичный,Брест,Беларусбанк-KZPU-169,15-03-2007,15:11:14,недостаточно средств,да,339.88
юр. лицо,списание средств,1090.44,безналичный,Гомель,Приорбанк-ACPL-867,04-01-2024,03:38:29,недостаточно средств,нет,0.0
юр. лицо,списание средств,4284.67,безналичный,Могилев,Белинвестбанк-CXRS-519,31-12-2008,11:25:24,недостаточно средств,да,247.4
физ. лицо,списание средств,354.82,наличный,Витебск,Беларусбанк-TCZQ-579,10-05-2021,01:12:58,недостаточно средств,нет,0.0
физ. лицо,списание средств,4522.54,наличный,Могилев,МаксБанк-CVPR-272,23-06-2023,13:03:12,недостаточно средств,да,170.04
юр. лицо,списание средств,3591.3,наличный,Могилев,БелАгропромбанк-MXWW-179,18-07-2003,02:55:01,недостаточно средств,нет,0.0
физ. лицо,списание средств,2630.18,безналичный,Гродно,Белинвестбанк-GKBJ-935,11-06-2017,14:10:48,недостаточно средств,да,189.02
юр. лицо,списание средств,1098.31,наличный,Минск,Белинвестбанк-MLPT-108,26-05-2013,09:07:51,недостаточно средств,да,44.03
физ. лицо,списание средств,2122.33,безналичный,Гродно,Приорбанк-SJHJ-757,02-09-2009,16:54:11,недостаточно средств,да,81.57
физ. лицо,списание средств,2109.68,наличный,Гродно,Приорбанк-XWIN-107,16-02-2023,19:20:32,недостаточно средств,нет,0.0
физ. лицо,списание средств,664.64,наличный,Могилев,Приорбанк-EJSQ-117,15-08-2010,20:27:40,недостаточно средств,да,65.21
юр. лицо,списание средств,4895.12,безналичный,Могилев,БелАгропромбанк-GLPO-245,02-04-2016,22:49:45,недостаточно средств,нет,0.0
юр. лицо,списание средств,4813.13,безналичный,Минск,Белинвестбанк-GHXO-066,26-09-2005,05:06:24,недостаточно средств,да,345.81
юр. лицо,списание средств,2229.43,наличный,Минск,МаксБанк-AZWU-758,16-07-2011,13:42:34,недостаточно средств,да,159.66
юр. лицо,списание средств,1439.85,безналичный,Витебск,Беларусбанк-BBLL-189,24-08-2014,13:20:56,недостаточно средств,да,45.94
физ. лицо,списание средств,3128.28,наличный,Могилев,МаксБанк-JXOY-737,04-01-2006,20:19:22,недостаточно средств,нет,0.0
юр. лицо,списание средств,1013.79,безналичный,Гродно,МаксБанк-WRTK-090,14-03-2002,12:49:11,недостаточно средств,нет,0.0
физ. лицо,списание средств,4685.33,безналичный,Гродно,Приорбанк-BPHI-926,10-10-2009,17:57:40,недостаточно средств,нет,0.0
физ. лицо,списание средств,83.39,безналичный,Гомель,Белинвестбанк-BNMJ-713,01-01-2004,13:43:20,недостаточно средств,да,7.72
юр. лицо,списание средств,4974.99,безналичный,Витебск,Белинвестбанк-ZVVA-037,23-04-2021,09:25:04,недостаточно средств,нет,0.0
физ. лицо,списание средств,3623.86,наличный,Гродно,Белинвестбанк-SRCM-475,07-08-2013,02:38:10,недостаточно средств,нет,0.0
юр. лицо,списание средств,996.32,безналичный,Гомель,МаксБанк-BYMS-885,17-09-2021,22:22:38,недостаточно средств,нет,0.0
юр. лицо,списание средств,3573.9,наличный,Витебск,Беларусбанк-IZSD-040,13-03-2005,21:27:40,недостаточно средств,нет,0.0
физ. лицо,списание средств,4800.91,наличный,Гродно,Приорбанк-PJYE-134,08-11-2008,10:56:39,недостаточно средств,да,113.32
физ. лицо,списание средств,896.57,наличный,Гомель,МаксБанк-VSBE-522,20-12-2006,12:50:34,недостаточно средств,да,50.75
физ. лицо,списание средств,2738.18,безналичный,Витебск,БелАгропромбанк-YAXX-628,10-06-2017,23:33:53,недостаточно средств,да,226.47
юр. лицо,списание средств,1943.97,безналичный,Брест,БелАгропромбанк-NJUS-627,19-10-2017,09:26:36,недостаточно средств,нет,0.0
физ. лицо,списание средств,1006.83,безналичный,Гомель,Беларусбанк-TCZV-384,20-03-2008,04:04:43,недостаточно средств,нет,0.0
юр. лицо,списание средств,3298.11,наличный,Брест,Беларусбанк-TSPI-981,01-04-2001,11:04:29,недостаточно средств,нет,0.0
юр. лицо,списание средств,4711.63,наличный,Гомель,Беларусбанк-EFHN-759,01-06-2012,23:20:51,недостаточно средств,нет,0.0
юр. лицо,списание средств,2335.14,безналичный,Брест,Беларусбанк-FDSW-532,12-01-2011,19:49:27,недостаточно средств,нет,0.0
физ. лицо,списание средств,4329.19,наличный,Минск,Приорбанк-EZRV-136,13-12-2000,22:22:16,недостаточно средств,нет,0.0
физ. лицо,списание средств,2893.99,безналичный,Гомель,Белинвестбанк-OUJS-132,01-08-2006,16:20:22,недостаточно средств,нет,0.0
юр. лицо,списание средств,4288.1,наличный,Брест,БелАгропромбанк-LWMO-342,14-08-2021,10:37:34,недостаточно средств,да,203.82
физ. лицо,списание средств,4535.3,наличный,Могилев,МаксБанк-OBTN-076,17-11-2020,15:35:40,недостаточно средств,да,127.85
юр. лицо,списание средств,3189.78,безналичный,Гродно,Приорбанк-MPAV-358,08-09-2013,06:50:44,недостаточно средств,да,161.57
физ. лицо,списание средств,629.09,безналичный,Гродно,Приорбанк-AVCG-592,22-03-2019,08:20:39,недостаточно средств,да,14.07
юр. лицо,списание средств,4139.24,безналичный,Могилев,МаксБанк-DKIA-912,13-12-2023,19:11:40,недостаточно средств,нет,0.0
физ. лицо,списание средств,2046.42,безналичный,Могилев,Беларусбанк-TCHF-709,07-10-2007,22:33:24,недостаточно средств,да,117.48
физ. лицо,списание средств,4886.91,безналичный,Брест,БелАгропромбанк-AHDE-271,08-10-2020,16:38:42,недостаточно средств,нет,0.0
физ. лицо,списание средств,1328.24,безналичный,Витебск,БелАгропромбанк-TXXU-061,13-01-2006,11:24:44,недостаточно средств,нет,0.0
физ. лицо,списание средств,15.32,безналичный,Минск,МаксБанк-HURC-879,15-03-2002,10:36:27,недостаточно средств,да,1.25
юр. лицо,списание средств,3527.41,наличный,Могилев,Приорбанк-NVGO-928,01-05-2010,01:18:24,недостаточно средств,да,290.95
юр. лицо,списание средств,3333.13,безналичный,Минск,БелАгропромбанк-HLAR-229,24-09-2023,07:25:02,недостаточно средств,да,108.65
физ. лицо,списание средств,4255.86,наличный,Гомель,Белинвестбанк-DRUM-438,04-11-2006,08:19:30,недостаточно средств,нет,0.0
юр. лицо,списание средств,2257.61,безналичный,Гродно,Приорбанк-UBQR-459,19-01-2003,11:50:22,недостаточно средств,да,31.8
физ. лицо,списание средств,3232.67,безналичный,Витебск,МаксБанк-EEFU-272,28-01-2017,22:59:38,недостаточно средств,да,105.87
юр. лицо,списание средств,4902.72,безналичный,Брест,МаксБанк-CQQZ-396,17-11-2008,08:44:04,недостаточно средств,да,436.64
юр. лицо,списание средств,77.48,наличный,Брест,Беларусбанк-LIVX-186,22-08-2015,04:10:07,недостаточно средств,да,4.4
юр. лицо,списание средств,1382.46,безналичный,Гродно,Беларусбанк-MYXY-393,04-02-2004,11:59:30,недостаточно средств,да,112.42
физ. лицо,списание средств,2014.22,наличный,Гродно,Приорбанк-OWHL-897,22-01-2001,06:27:48,недостаточно средств,нет,0.0
юр. лицо,списание средств,1925.58,наличный,Минск,Белинвестбанк-UHRR-360,20-05-2006,20:44:31,недостаточно средств,нет,0.0
юр. лицо,списание средств,2603.66,наличный,Минск,Белинвестбанк-VOSK-206,19-05-2001,10:22:45,недостаточно средств,нет,0.0
физ. лицо,списание средств,1209.64,безналичный,Гомель,БелАгропромбанк-JRZN-038,20-10-2009,00:02:26,недостаточно средств,да,45.23
физ. лицо,списание средств,4247.19,наличный,Витебск,Белинвестбанк-WWXL-380,22-06-2000,15:05:53,недостаточно средств,нет,0.0
физ. лицо,списание средств,824.28,наличный,Гродно,Беларусбанк-ECOM-801,10-02-2011,12:26:48,недостаточно средств,нет,0.0
юр. лицо,списание средств,3300.76,безналичный,Витебск,Белинвестбанк-JJGV-096,18-02-2006,02:46:27,недостаточно средств,нет,0.0
физ. лицо,списание средств,736.76,безналичный,Брест,Приорбанк-RCJQ-484,23-02-2001,02:04:17,недостаточно средств,да,23.87
юр. лицо,списание средств,2253.71,наличный,Брест,Беларусбанк-WPPV-799,05-10-2015,11:37:08,недостаточно средств,да,63.52
физ. лицо,списание средств,2154.75,наличный,Брест,Приорбанк-ZVFA-670,01-05-2008,20:35:17,недостаточно средств,да,89.49
юр. лицо,списание средств,955.33,безналичный,Могилев,БелАгропромбанк-CDPR-043,10-10-2014,15:11:16,недостаточно средств,да,40.69
юр. лицо,списание средств,180.74,безналичный,Витебск,МаксБанк-QWGL-451,06-12-2024,17:44:54,недостаточно средств,нет,0.0
юр. лицо,списание средств,2239.74,безналичный,Витебск,Беларусбанк-MTWC-760,06-08-2002,19:56:05,недостаточно средств,нет,0.0
юр. лицо,списание средств,3296.73,безналичный,Брест,Приорбанк-BFAY-447,08-07-2017,14:51:41,недостаточно средств,нет,0.0
физ. лицо,списание средств,2697.13,безналичный,Гомель,Приорбанк-TJSE-035,07-04-2013,08:05:47,недостаточно средств,нет,0.0
юр. лицо,списание средств,1033.08,наличный,Брест,Беларусбанк-HYFA-411,09-01-2022,05:20:06,недостаточно средств,нет,0.0
физ. лицо,списание средств,1255.75,наличный,Минск,Беларусбанк-PFWV-350,30-08-2008,11:32:52,недостаточно средств,да,63.12
юр. лицо,списание средств,634.12,безналичный,Минск,МаксБанк-UTNC-646,17-06-2011,11:44:45,недостаточно средств,да,45.98
юр. лицо,списание средств,1653.45,наличный,Брест,Белинвестбанк-FYAP-855,18-01-2000,22:10:01,недостаточно средств,да,60.67
физ. лицо,списание средств,4716.93,безналичный,Витебск,Приорбанк-ENLK-625,09-10-2008,14:49:45,недостаточно средств,нет,0.0
юр. лицо,списание средств,3969.41,безналичный,Витебск,Приорбанк-XXXF-634,16-11-2015,08:07:41,недостаточно средств,нет,0.0
юр. лицо,списание средств,4249.53,наличный,Гомель,БелАгропромбанк-OALH-996,17-11-2015,07:53:32,недостаточно средств,нет,0.0
физ. лицо,списание средств,923.64,наличный,Могилев,МаксБанк-GWLZ-250,20-05-2005,04:27:16,недостаточно средств,нет,0.0
юр. лицо,списание средств,4388.64,безналичный,Могилев,БелАгропромбанк-KVFI-581,26-03-2018,15:42:57,недостаточно средств,да,204.58
юр. лицо,списание средств,4393.62,наличный,Витебск,Приорбанк-GZBC-954,08-08-2006,02:18:31,недостаточно средств,нет,0.0
физ. лицо,списание средств,678.86,наличный,Витебск,МаксБанк-ZGTR-132,30-06-2015,02:13:40,недостаточно средств,нет,0.0
юр. лицо,списание средств,3481.95,безналичный,Гродно,МаксБанк-HNHE-387,23-08-2022,07:11:20,недостаточно средств,нет,0.0
физ. лицо,списание средств,1389.89,наличный,Гродно,Приорбанк-EBLZ-675,15-06-2014,13:58:01,недостаточно средств,нет,0.0
физ. лицо,списание средств,2047.77,наличный,Брест,МаксБанк-REAE-221,02-04-2019,10:10:54,недостаточно средств,нет,0.0
юр. лицо,списание средств,4832.16,наличный,Витебск,БелАгропромбанк-AZQH-361,11-05-2006,07:57:21,недостаточно средств,да,279.56
юр. лицо,списание средств,4159.27,наличный,Гомель,Беларусбанк-ZIOU-971,28-09-2014,11:24:37,недостаточно средств,нет,0.0
физ. лицо,списание средств,811.96,наличный,Гродно,Белинвестбанк-TOJH-213,16-12-2014,18:31:14,недостаточно средств,нет,0.0
юр. лицо,списание средств,3914.05,наличный,Витебск,Беларусбанк-AMGJ-624,10-09-2005,23:34:56,недостаточно средств,да,335.94
физ. лицо,списание средств,4949.87,безналичный,Гродно,Приорбанк-YNEA-553,24-05-2009,00:00:47,недостаточно средств,да,301.16
физ. лицо,списание средств,431.97,наличный,Гомель,БелАгропромбанк-CIKT-810,08-01-2019,11:48:29,недостаточно средств,да,6.94
физ. лицо,списание средств,4538.53,наличный,Брест,МаксБанк-IZGH-333,18-11-2004,14:54:08,недостаточно средств,да,218.59
юр. лицо,списание средств,1804.12,безналичный,Минск,БелАгропромбанк-HEKG-369,02-07-2008,21:01:51,недостаточно средств,да,41.61
физ. лицо,списание средств,2878.47,безналичный,Брест,Приорбанк-NWEQ-603,23-05-2019,19:52:14,недостаточно средств,нет,0.0
физ. лицо,списание средств,530.37,наличный,Гомель,Приорбанк-GNJU-718,29-08-2007,04:07:02,недостаточно средств,да,43.08
физ. лицо,списание средств,1482.84,наличный,Гродно,МаксБанк-BEAW-870,29-06-2009,10:45:00,недостаточно средств,нет,0.0
юр. лицо,списание средств,4585.81,безналичный,Могилев,БелАгропромбанк-ORPR-162,24-11-2004,15:04:45,недостаточно средств,нет,0.0
юр. лицо,списание средств,1633.05,безналичный,Витебск,БелАгропромбанк-LNOQ-758,18-05-2015,21:17:27,недостаточно средств,да,104.51
юр. лицо,списание средств,2468.34,наличный,Могилев,Приорбанк-XHYY-471,27-02-2024,09:49:57,недостаточно средств,да,211.87
юр. лицо,списание средств,3722.61,безналичный,Могилев,Беларусбанк-SBAN-438,22-07-2004,22:52:01,недостаточно средств,да,341.09
юр. лицо,списание средств,1303.33,наличный,Могилев,Приорбанк-BZER-648,03-03-2015,17:14:39,недостаточно средств,да,75.95
физ. лицо,списание средств,1959.22,наличный,Гомель,БелАгропромбанк-FZBF-240,10-08-2019,08:59:59,недостаточно средств,да,20.19
юр. лицо,списание средств,641.77,наличный,Брест,Беларусбанк-UDIC-115,21-04-2019,17:19:12,недостаточно средств,нет,0.0
юр. лицо,списание средств,634.74,наличный,Минск,Беларусбанк-BJXM-244,22-11-2012,13:44:11,недостаточно средств,нет,0.0
физ. лицо,списание средств,127.07,безналичный,Брест,МаксБанк-DVQM-870,04-05-2010,04:32:40,недостаточно средств,да,1.83
физ. лицо,списание средств,1640.16,наличный,Витебск,Беларусбанк-AEDX-125,13-10-2016,00:33:07,недостаточно средств,нет,0.0
юр. лицо,списание средств,4529.82,безналичный,Брест,Белинвестбанк-CJWR-639,20-05-2016,15:08:06,недостаточно средств,нет,0.0
юр. лицо,списание средств,1866.83,наличный,Витебск,БелАгропромбанк-BGYQ-644,18-12-2009,11:29:27,недостаточно средств,да,103.69
физ. лицо,списание средств,3042.56,наличный,Брест,МаксБанк-LCER-768,23-12-2004,02:26:34,недостаточно средств,да,171.36
физ. лицо,списание средств,4064.28,безналичный,Витебск,Белинвестбанк-GZPD-007,25-09-2015,15:28:50,недостаточно средств,да,335.05
юр. лицо,списание средств,686.23,наличный,Брест,Белинвестбанк-AHSQ-513,08-11-2014,15:04:06,недостаточно средств,нет,0.0
физ. лицо,списание средств,2138.63,наличный,Могилев,Белинвестбанк-JCIU-567,17-09-2005,15:03:22,недостаточно средств,да,198.31
физ. лицо,списание средств,4237.26,наличный,Гродно,Белинвестбанк-VRTG-242,17-04-2004,02:36:46,недостаточно средств,да,399.7
физ. лицо,списание средств,4827.21,наличный,Могилев,БелАгропромбанк-ATCV-257,17-03-2019,21:26:29,недостаточно средств,да,376.89
физ. лицо,списание средств,640.89,безналичный,Гродно,Приорбанк-TIDJ-435,07-07-2010,14:28:04,недостаточно средств,нет,0.0
юр. лицо,списание средств,1620.42,наличный,Витебск,МаксБанк-IOOF-206,30-08-2022,16:06:06,недостаточно средств,нет,0.0
физ. лицо,списание средств,2308.33,безналичный,Брест,Белинвестбанк-UDGR-511,02-10-2005,14:26:50,недостаточно средств,нет,0.0
физ. лицо,списание средств,1696.12,безналичный,Могилев,Беларусбанк-AWAS-863,25-07-2013,08:22:40,недостаточно средств,да,167.7
физ. лицо,списание средств,1499.59,наличный,Минск,БелАгропромбанк-DVIK-372,16-10-2024,04:38:44,недостаточно средств,да,95.55
физ. лицо,списание средств,1899.31,наличный,Минск,МаксБанк-OCUE-856,16-05-2011,12:12:47,недостаточно средств,нет,0.0
юр. лицо,списание средств,3775.08,безналичный,Минск,Приорбанк-RQDT-146,29-11-2009,04:42:30,недостаточно средств,да,111.04
юр. лицо,списание средств,4518.71,безналичный,Гродно,Приорбанк-VRXI-658,04-05-2021,17:24:53,недостаточно средств,нет,0.0
физ. лицо,списание средств,1655.57,наличный,Гродно,Беларусбанк-EFNV-211,25-02-2003,11:29:30,недостаточно средств,нет,0.0
физ. лицо,списание средств,608.8,безналичный,Могилев,Белинвестбанк-FRDQ-991,14-03-2012,04:06:55,недостаточно средств,нет,0.0
физ. лицо,списание средств,2222.5,безналичный,Витебск,Беларусбанк-VXYI-987,28-02-2022,22:23:21,недостаточно средств,нет,0.0
физ. лицо,списание средств,2221.34,наличный,Могилев,БелАгропромбанк-OTUS-317,05-06-2021,23:54:06,недостаточно средств,да,191.08
физ. лицо,списание средств,3090.09,наличный,Минск,Беларусбанк-MFWS-343,01-04-2000,11:01:34,недостаточно средств,нет,0.0
юр. лицо,списание средств,2111.65,наличный,Брест,МаксБанк-FSXT-428,02-03-2019,00:52:25,недостаточно средств,да,129.32
юр. лицо,списание средств,607.04,наличный,Гомель,Беларусбанк-NXDV-488,02-12-2013,05:50:33,недостаточно средств,нет,0.0
юр. лицо,списание средств,578.88,наличный,Брест,Беларусбанк-PDWO-988,10-03-2004,20:26:14,недостаточно средств,нет,0.0
юр. лицо,списание средств,1119.1,наличный,Витебск,Приорбанк-NWMD-327,01-02-2010,16:08:27,недостаточно средств,нет,0.0
физ. лицо,списание средств,4622.23,безналичный,Гродно,МаксБанк-NIEW-367,06-07-2009,07:20:57,недостаточно средств,нет,0.0
физ. лицо,списание средств,2417.8,наличный,Гомель,МаксБанк-YBTF-345,19-05-2020,17:23:19,недостаточно средств,нет,0.0
юр. лицо,списание средств,1761.38,безналичный,Могилев,Белинвестбанк-PSCU-435,14-06-2017,04:27:28,недостаточно средств,нет,0.0
физ. лицо,списание средств,1481.36,наличный,Брест,Приорбанк-LFQB-721,25-12-2015,23:48:58,недостаточно средств,нет,0.0
физ. лицо,списание средств,95.46,наличный,Гродно,Белинвестбанк-TUKM-945,08-02-2017,08:41:32,недостаточно средств,да,1.05
юр. лицо,списание средств,1722.62,безналичный,Минск,Приорбанк-OBYK-578,04-12-2022,12:07:40,недостаточно средств,нет,0.0
юр. лицо,списание средств,2848.96,безналичный,Гродно,Беларусбанк-ESCK-751,24-02-2003,14:08:06,недостаточно средств,да,131.48
юр. лицо,списание средств,2741.14,наличный,Витебск,Белинвестбанк-DTSP-283,10-12-2023,01:54:26,недостаточно средств,нет,0.0
физ. лицо,списание средств,2179.32,безналичный,Минск,Приорбанк-VFWY-542,05-10-2000,03:31:27,недостаточно средств,нет,0.0
физ. лицо,списание средств,3386.49,безналичный,Брест,Белинвестбанк-IVQA-169,14-05-2010,11:30:28,недостаточно средств,да,49.63
физ. лицо,списание средств,4159.83,наличный,Витебск,Беларусбанк-MBOL-560,18-11-2010,07:22:09,недостаточно средств,да,312.34
физ. лицо,списание средств,4769.22,наличный,Брест,БелАгропромбанк-QCUJ-235,27-06-2009,13:58:53,недостаточно средств,да,355.26
юр. лицо,списание средств,773.55,наличный,Гродно,Приорбанк-NDJA-198,07-03-2007,16:54:48,недостаточно средств,да,37.1
