Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
физ. лицо,списание средств,1926.32,безналичный,Витебск,Беларусбанк-BQVY-524,03-08-2011,22:40:16,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,2300.65,безналичный,Минск,Белинвестбанк-BHKT-028,03-05-2008,13:35:13,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,2399.32,безналичный,Могилев,БелАгропромбанк-RQYR-050,12-12-2004,12:04:24,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,1698.47,наличный,Гомель,Белинвестбанк-QRKE-428,09-01-2004,15:37:44,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,3780.78,безналичный,Гродно,Беларусбанк-IXNM-174,17-12-2018,06:23:40,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,4513.3,наличный,Брест,Беларусбанк-HVXQ-632,14-10-2013,06:59:29,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,647.14,безналичный,Минск,Приорбанк-XYRK-063,07-11-2014,12:52:57,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,4691.25,безналичный,Гродно,МаксБанк-BKPQ-813,09-05-2011,11:13:27,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,1184.37,наличный,Могилев,Беларусбанк-DNJC-860,14-06-2005,17:42:11,неправильный ввод пин-кода,да,34.78
юр. лицо,списание средств,4294.13,наличный,Гомель,Беларусбанк-SWSD-116,27-03-2007,10:44:15,неправильный ввод пин-кода,да,405.29
физ. лицо,списание средств,3607.78,безналичный,Минск,Белинвестбанк-ODVJ-814,23-05-2023,07:33:16,неправильный ввод пин-кода,да,244.12
физ. лицо,списание средств,4302.98,безналичный,Могилев,МаксБанк-GDWW-042,02-06-2012,15:26:15,неправильный ввод пин-кода,да,211.24
юр. лицо,списание средств,3955.59,наличный,Гомель,Приорбанк-CDXQ-975,01-09-2001,01:42:35,неправильный ввод пин-кода,да,109.45
юр. лицо,списание средств,2353.57,безналичный,Минск,БелАгропромбанк-EPLN-190,04-07-2023,19:47:39,неправильный ввод пин-кода,да,81.28
юр. лицо,списание средств,4642.46,наличный,Гомель,Приорбанк-AFJP-221,01-02-2022,09:27:13,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,4456.25,наличный,Могилев,МаксБанк-OBDH-108,15-11-2003,00:20:50,неправильный ввод пин-кода,да,129.08
физ. лицо,списание средств,3799.8,наличный,Витебск,МаксБанк-WHLA-157,18-05-2010,12:59:36,неправильный ввод пин-кода,да,149.91
юр. лицо,списание средств,4865.75,наличный,Минск,Белинвестбанк-KBGY-773,15-06-2004,19:43:57,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,3427.41,безналичный,Витебск,МаксБанк-AMJY-145,22-06-2019,15:55:29,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,2025.41,наличный,Минск,Беларусбанк-RCEW-033,30-09-2003,09:04:26,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,2560.98,наличный,Минск,МаксБанк-RLPL-369,22-12-2008,21:40:41,неправильный ввод пин-кода,да,120.54
юр. лицо,списание средств,3569.61,безналичный,Витебск,Приорбанк-UMGO-039,11-12-2008,11:22:53,неправильный ввод пин-кода,да,107.12
юр. лицо,списание средств,1724.02,безналичный,Гомель,Белинвестбанк-REIW-609,11-10-2020,15:49:49,неправильный ввод пин-кода,да,42.32
юр. лицо,списание средств,2991.8,безналичный,Гомель,МаксБанк-KKMB-382,09-02-2022,13:40:20,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,598.2,безналичный,Минск,Приорбанк-WZGG-981,27-05-2019,16:31:26,неправильный ввод пин-кода,да,42.4
юр. лицо,списание средств,2995.62,наличный,Гомель,Беларусбанк-EYOA-164,25-05-2013,00:54:18,неправильный ввод пин-кода,да,202.21
юр. лицо,списание средств,4631.4,наличный,Могилев,БелАгропромбанк-UPTK-684,23-09-2022,19:23:03,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,1378.8,безналичный,Гомель,Белинвестбанк-CIHO-836,25-01-2007,04:55:21,неправильный ввод пин-кода,да,14.09
юр. лицо,списание средств,2411.97,безналичный,Минск,Приорбанк-CWHJ-699,31-07-2006,21:17:32,неправильный ввод пин-кода,да,65.6
физ. лицо,списание средств,1216.98,наличный,Могилев,БелАгропромбанк-DKEZ-628,29-10-2006,06:06:31,неправильный ввод пин-кода,да,60.59
юр. лицо,списание средств,1613.44,наличный,Витебск,МаксБанк-YQGA-693,28-01-2007,11:13:30,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,1438.6,безналичный,Могилев,Белинвестбанк-YXWO-287,08-03-2004,03:55:38,неправильный ввод пин-кода,да,114.19
юр. лицо,списание средств,3965.14,наличный,Гродно,БелАгропромбанк-BDUI-858,07-01-2004,21:49:44,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,3170.28,безналичный,Брест,МаксБанк-AEVB-170,23-03-2010,12:08:41,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,450.55,безналичный,Витебск,МаксБанк-GZOK-456,07-03-2002,18:35:23,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,2417.58,наличный,Гродно,МаксБанк-VMJF-022,31-08-2009,05:40:00,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,1440.65,безналичный,Витебск,БелАгропромбанк-VQQZ-614,06-03-2005,01:33:53,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,145.42,наличный,Минск,МаксБанк-HFHT-845,10-05-2014,02:29:57,неправильный ввод пин-кода,да,2.27
юр. лицо,списание средств,1435.72,безналичный,Могилев,Белинвестбанк-YUXB-321,27-07-2003,07:51:42,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,1727.28,наличный,Брест,БелАгропромбанк-RYNX-314,13-02-2013,18:58:33,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,4328.51,наличный,Могилев,МаксБанк-LQCT-938,21-04-2024,08:54:36,неправильный ввод пин-кода,да,277.2
физ. лицо,списание средств,1071.46,наличный,Брест,МаксБанк-PZIO-047,24-06-2003,12:11:08,неправильный ввод пин-кода,да,88.28
физ. лицо,списание средств,4193.89,наличный,Минск,Белинвестбанк-TEFC-960,04-03-2005,05:18:04,неправильный ввод пин-кода,да,177.38
физ. лицо,списание средств,3695.66,наличный,Могилев,Беларусбанк-NZGT-739,28-06-2013,07:10:30,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,2948.84,безналичный,Могилев,Беларусбанк-EKJZ-739,05-07-2012,09:53:58,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,862.67,наличный,Гродно,МаксБанк-JMFU-604,15-06-2014,16:08:55,неправильный ввод пин-кода,да,73.13
физ. лицо,списание средств,1356.75,наличный,Гродно,МаксБанк-MLGD-911,17-03-2014,07:56:56,неправильный ввод пин-кода,да,125.4
физ. лицо,списание средств,4233.32,безналичный,Минск,Беларусбанк-QHJE-923,25-07-2011,20:09:45,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,2703.02,наличный,Могилев,Приорбанк-PWRG-031,20-05-2006,03:04:43,неправильный ввод пин-кода,да,83.5
физ. лицо,списание средств,2767.41,безналичный,Минск,Белинвестбанк-EIGZ-280,31-07-2002,16:01:32,неправильный ввод пин-кода,да,174.31
юр. лицо,списание средств,2073.83,наличный,Гродно,МаксБанк-KJIP-633,16-01-2012,00:54:18,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,1635.23,безналичный,Витебск,Приорбанк-DOZQ-547,14-12-2022,08:46:41,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,4070.99,наличный,Могилев,БелАгропромбанк-GIWH-235,19-07-2008,15:09:02,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,1222.21,наличный,Гомель,БелАгропромбанк-QHSU-174,07-11-2008,13:13:39,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,4940.61,безналичный,Могилев,Белинвестбанк-FRSL-625,28-11-2004,14:11:10,неправильный ввод пин-кода,да,481.49
физ. лицо,списание средств,1237.93,наличный,Гродно,Белинвестбанк-AREE-340,05-02-2018,22:57:24,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,4952.4,безналичный,Минск,БелАгропромбанк-XDBR-069,14-01-2013,02:34:13,неправильный ввод пин-кода,да,54.21
физ. лицо,списание средств,2204.11,безналичный,Гомель,Беларусбанк-ADOB-337,17-10-2016,17:46:53,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,425.83,безналичный,Гродно,БелАгропромбанк-WCHU-565,25-07-2006,19:29:57,неправильный ввод пин-кода,да,7.48
юр. лицо,списание средств,3219.11,безналичный,Витебск,БелАгропромбанк-NYVH-654,10-04-2022,02:56:59,неправильный ввод пин-кода,да,250.03
физ. лицо,списание средств,1359.52,наличный,Минск,БелАгропромбанк-YYBT-758,11-11-2017,07:31:24,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,3475.5,наличный,Минск,Белинвестбанк-QAKF-985,22-06-2010,00:33:22,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,1127.57,безналичный,Минск,БелАгропромбанк-GJAB-842,01-02-2024,16:38:32,неправильный ввод пин-кода,да,59.83
юр. лицо,списание средств,3996.63,безналичный,Гродно,Приорбанк-YXCK-238,05-03-2020,13:53:17,неправильный ввод пин-кода,да,40.5
юр. лицо,списание средств,551.44,наличный,Витебск,Белинвестбанк-YRBS-499,26-03-2019,09:56:12,неправильный ввод пин-кода,да,20.77
физ. лицо,списание средств,4149.33,безналичный,Минск,Приорбанк-NOZI-467,10-06-2000,23:08:31,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,1579.77,наличный,Брест,Беларусбанк-NFJQ-430,22-07-2022,13:25:29,неправильный ввод пин-кода,да,37.88
физ. лицо,списание средств,4401.7,наличный,Витебск,Беларусбанк-BDTO-662,22-10-2008,22:07:59,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,3366.52,безналичный,Брест,Приорбанк-SBME-379,23-05-2007,11:38:09,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,2797.52,безналичный,Минск,Белинвестбанк-PWHY-396,03-03-2014,12:30:26,неправильный ввод пин-кода,да,187.48
физ. лицо,списание средств,518.3,безналичный,Гомель,Приорбанк-IMPN-041,02-06-2012,14:36:49,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,2820.14,безналичный,Гродно,МаксБанк-PNTR-587,02-06-2014,05:47:09,неправильный ввод пин-кода,да,254.73
физ. лицо,списание средств,4402.83,наличный,Брест,Беларусбанк-YECN-011,02-01-2015,06:57:00,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,1581.24,наличный,Брест,МаксБанк-YJJF-960,18-09-2012,16:41:35,неправильный ввод пин-кода,да,107.71
физ. лицо,списание средств,3258.25,безналичный,Брест,Белинвестбанк-EOVJ-769,02-08-2018,15:05:31,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,2777.48,наличный,Брест,МаксБанк-NZNY-802,28-04-2011,07:54:56,неправильный ввод пин-кода,да,256.25
юр. лицо,списание средств,1334.72,наличный,Витебск,Беларусбанк-VUGE-602,24-02-2017,13:12:16,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,1838.84,наличный,Гродно,Белинвестбанк-WWPC-548,21-02-2006,09:14:41,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,3689.36,наличный,Гомель,БелАгропромбанк-TIBD-298,24-02-2002,00:16:11,неправильный ввод пин-кода,да,350.91
юр. лицо,списание средств,2953.59,безналичный,Гомель,Белинвестбанк-OEOF-398,21-02-2012,15:42:07,неправильный ввод пин-кода,да,288.2
юр. лицо,списание средств,827.51,безналичный,Гродно,Белинвестбанк-KUTA-633,28-08-2008,06:59:27,неправильный ввод пин-кода,да,39.92
юр. лицо,списание средств,1337.27,безналичный,Могилев,МаксБанк-QSDA-114,18-06-2000,10:02:27,неправильный ввод пин-кода,да,118.43
юр. лицо,списание средств,3052.13,наличный,Витебск,Приорбанк-FIDE-230,11-07-2021,03:19:29,неправильный ввод пин-кода,да,205.58
юр. лицо,списание средств,1698.17,безналичный,Витебск,Беларусбанк-OEIU-273,15-03-2022,14:16:23,неправильный ввод пин-кода,да,27.08
физ. лицо,списание средств,1542.05,безналичный,Гродно,МаксБанк-LFMB-530,15-11-2015,04:03:11,неправильный ввод пин-кода,да,66.62
юр. лицо,списание средств,4169.88,безналичный,Минск,Белинвестбанк-JPMD-165,09-01-2024,22:30:18,неправильный ввод пин-кода,да,138.2
юр. лицо,списание средств,3259.89,безналичный,Гродно,Беларусбанк-PJAM-268,09-10-2008,15:32:03,неправильный ввод пин-кода,да,94.33
физ. лицо,списание средств,907.34,наличный,Минск,МаксБанк-XNPW-129,20-11-2016,05:51:34,неправильный ввод пин-кода,да,33.53
юр. лицо,списание средств,775.81,безналичный,Минск,БелАгропромбанк-XWXL-218,29-01-2012,23:38:11,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,395.13,безналичный,Могилев,Беларусбанк-NVIF-862,14-06-2008,06:47:08,неправильный ввод пин-кода,да,35.35
юр. лицо,списание средств,3.93,безналичный,Витебск,Беларусбанк-XGUX-018,18-12-2015,18:32:59,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,619.33,безналичный,Могилев,Беларусбанк-SAUZ-663,22-08-2002,05:58:49,неправильный ввод пин-кода,да,16.57
физ. лицо,списание средств,704.68,наличный,Витебск,Приорбанк-BDZQ-597,13-02-2012,10:34:56,неправильный ввод пин-кода,да,16.81
юр. лицо,списание средств,20.3,безналичный,Гомель,Белинвестбанк-NGGN-853,04-09-2023,00:22:46,неправильный ввод пин-кода,да,1.05
физ. лицо,списание средств,1010.86,безналичный,Гомель,Беларусбанк-XUPA-142,23-03-2007,20:15:15,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,4687.76,безналичный,Минск,БелАгропромбанк-KUOQ-881,13-05-2003,07:30:52,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,612.95,безналичный,Могилев,Беларусбанк-LSHY-601,11-02-2013,22:04:35,неправильный ввод пин-кода,да,46.52
юр. лицо,списание средств,1563.83,безналичный,Гродно,Белинвестбанк-DHGD-699,10-02-2023,19:49:58,неправильный ввод пин-кода,да,70.73
юр. лицо,списание средств,3880.98,безналичный,Витебск,МаксБанк-LVJI-594,01-11-2006,19:00:05,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,57.52,наличный,Гомель,Белинвестбанк-UAFS-680,06-08-2002,15:02:12,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,419.55,безналичный,Гомель,Приорбанк-HAXG-098,14-10-2015,15:26:43,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,1450.14,наличный,Витебск,Беларусбанк-WPDZ-439,06-03-2023,19:11:20,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,40.96,безналичный,Витебск,МаксБанк-GKVC-500,05-12-2005,00:09:03,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,4019.03,наличный,Минск,МаксБанк-KJKR-508,23-04-2019,04:36:44,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,1443.88,безналичный,Витебск,МаксБанк-JPTK-910,05-01-2002,00:50:41,неправильный ввод пин-кода,да,138.04
физ. лицо,списание средств,3695.56,наличный,Могилев,Приорбанк-SVUQ-521,12-09-2019,06:16:48,неправильный ввод пин-кода,да,127.91
физ. лицо,списание средств,2315.66,безналичный,Минск,БелАгропромбанк-ERHA-178,04-07-2022,22:52:38,неправильный ввод пин-кода,да,139.9
юр. лицо,списание средств,2172.81,безналичный,Брест,Белинвестбанк-JCTH-846,24-03-2002,19:31:38,неправильный ввод пин-кода,да,109.69
юр. лицо,списание средств,2732.51,наличный,Могилев,Беларусбанк-XFST-389,06-08-2002,13:53:49,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,380.66,наличный,Могилев,Белинвестбанк-ESLR-653,27-11-2011,10:54:54,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,1817.05,безналичный,Могилев,Беларусбанк-DPXV-772,28-05-2004,20:17:56,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,4827.87,наличный,Гродно,Белинвестбанк-RBVK-185,27-01-2017,23:40:51,неправильный ввод пин-кода,да,432.11
физ. лицо,списание средств,1823.68,наличный,Гродно,Приорбанк-VHIJ-277,19-07-2024,17:52:17,неправильный ввод пин-кода,да,94.02
юр. лицо,списание средств,1368.28,безналичный,Гродно,Белинвестбанк-MWUG-543,05-01-2003,11:33:47,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,4010.21,наличный,Витебск,Белинвестбанк-BUSF-719,06-08-2001,14:17:06,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,1164.68,наличный,Витебск,МаксБанк-ODSB-570,20-06-2017,01:34:26,неправильный ввод пин-кода,да,64.57
физ. лицо,списание средств,1692.66,наличный,Могилев,Белинвестбанк-BTSS-621,02-11-2002,17:34:22,неправильный ввод пин-кода,да,147.05
юр. лицо,списание средств,3766.74,безналичный,Витебск,Белинвестбанк-THZW-827,30-01-2002,21:28:13,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,800.46,наличный,Брест,БелАгропромбанк-VYTZ-846,13-01-2001,06:43:29,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,3195.82,наличный,Могилев,Белинвестбанк-OJFO-705,05-01-2010,19:59:35,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,2036.73,безналичный,Брест,Беларусбанк-INPV-942,17-10-2011,14:16:18,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,481.25,наличный,Брест,Приорбанк-HYGS-095,22-12-2008,01:01:31,неправильный ввод пин-кода,да,15.09
юр. лицо,списание средств,2263.24,наличный,Витебск,Белинвестбанк-MDKV-526,01-06-2010,03:13:54,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,2790.07,наличный,Брест,МаксБанк-BXHD-736,22-05-2007,05:09:25,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,2090.27,безналичный,Гомель,Приорбанк-HRDL-194,06-01-2018,11:32:55,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,4378.88,наличный,Могилев,Приорбанк-HFWO-027,09-06-2011,07:13:26,неправильный ввод пин-кода,да,95.62
физ. лицо,списание средств,3272.7,наличный,Витебск,БелАгропромбанк-FDYQ-197,15-05-2005,02:28:36,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,418.75,наличный,Могилев,Приорбанк-UHXV-138,11-12-2022,19:57:16,неправильный ввод пин-кода,да,14.85
физ. лицо,списание средств,4405.52,безналичный,Гродно,Белинвестбанк-WDFC-993,12-11-2002,13:53:09,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,492.75,наличный,Гомель,БелАгропромбанк-YDUG-783,31-07-2018,14:18:35,неправильный ввод пин-кода,да,28.4
физ. лицо,списание средств,1249.81,наличный,Гомель,БелАгропромбанк-UKNS-992,01-12-2019,08:23:21,неправильный ввод пин-кода,да,44.5
юр. лицо,списание средств,4760.19,наличный,Могилев,Белинвестбанк-SIIX-595,31-10-2021,13:27:36,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,4112.58,наличный,Гомель,БелАгропромбанк-IQGK-673,24-12-2018,13:41:28,неправильный ввод пин-кода,да,397.52
физ. лицо,списание средств,3018.14,безналичный,Брест,Белинвестбанк-PGAZ-971,16-04-2006,21:57:36,неправильный ввод пин-кода,да,270.92
юр. лицо,списание средств,2430.03,наличный,Гродно,Белинвестбанк-AETV-150,15-03-2007,04:46:08,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,2362.31,наличный,Витебск,БелАгропромбанк-ZBMP-893,13-10-2001,08:46:41,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,944.01,безналичный,Брест,Белинвестбанк-HLKN-871,10-06-2020,06:05:13,неправильный ввод пин-кода,да,14.3
юр. лицо,списание средств,4793.27,безналичный,Могилев,МаксБанк-QKSV-719,05-01-2019,10:15:34,неправильный ввод пин-кода,да,270.74
физ. лицо,списание средств,3054.89,безналичный,Витебск,Беларусбанк-WZDH-042,26-12-2023,01:59:59,неправильный ввод пин-кода,да,233.91
физ. лицо,списание средств,878.33,наличный,Гомель,Беларусбанк-TZWT-584,24-08-2004,22:13:32,неправильный ввод пин-кода,да,49.5
физ. лицо,списание средств,3486.7,наличный,Могилев,МаксБанк-EVML-900,20-10-2006,13:47:38,неправильный ввод пин-кода,да,211.79
физ. лицо,списание средств,1805.3,безналичный,Брест,Беларусбанк-IANE-331,16-01-2010,02:17:16,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,2642.59,безналичный,Гомель,БелАгропромбанк-NBXU-267,10-07-2015,23:34:21,неправильный ввод пин-кода,да,57.0
физ. лицо,списание средств,357.67,безналичный,Могилев,МаксБанк-NYEA-990,10-08-2022,01:24:28,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,4468.32,безналичный,Брест,БелАгропромбанк-UUDO-449,22-03-2018,11:45:16,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,1584.75,наличный,Гомель,БелАгропромбанк-KZWU-436,08-04-2022,19:02:43,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,36.16,наличный,Минск,Приорбанк-RZEO-378,08-12-2006,11:39:40,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,4873.74,безналичный,Минск,Беларусбанк-TXMZ-630,04-09-2000,02:04:04,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,3796.76,безналичный,Гродно,МаксБанк-LXQN-390,04-08-2022,17:25:49,неправильный ввод пин-кода,да,291.07
юр. лицо,списание средств,461.41,безналичный,Могилев,БелАгропромбанк-DUVI-955,09-03-2023,22:04:40,неправильный ввод пин-кода,да,42.6
физ. лицо,списание средств,839.03,наличный,Витебск,БелАгропромбанк-XOPJ-493,17-03-2003,03:33:19,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,1386.51,наличный,Могилев,БелАгропромбанк-PZGK-526,27-07-2007,10:25:01,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,4727.51,безналичный,Могилев,Беларусбанк-SFHN-355,03-04-2008,12:42:40,неправильный ввод пин-кода,да,327.12
юр. лицо,списание средств,248.98,безналичный,Гродно,Беларусбанк-VCGD-523,16-11-2014,09:12:07,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,1069.54,наличный,Гомель,Приорбанк-WZCZ-716,29-08-2002,00:41:13,неправильный ввод пин-кода,да,74.64
физ. лицо,списание средств,2142.17,безналичный,Минск,Беларусбанк-YDTC-571,13-08-2003,02:38:16,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,4540.54,наличный,Гомель,Белинвестбанк-GHRV-523,20-06-2023,22:48:37,неправильный ввод пин-кода,да,66.12
физ. лицо,списание средств,3815.48,безналичный,Могилев,МаксБанк-YNPW-751,25-01-2018,23:47:47,неправильный ввод пин-кода,да,188.81
юр. лицо,списание средств,3862.95,безналичный,Брест,Белинвестбанк-UJGX-479,05-08-2001,16:50:33,неправильный ввод пин-кода,да,233.21
юр. лицо,списание средств,597.22,наличный,Могилев,МаксБанк-TJTK-221,08-12-2015,21:10:21,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,3230.34,безналичный,Минск,Белинвестбанк-MMFN-277,04-04-2019,23:12:58,неправильный ввод пин-кода,да,253.69
юр. лицо,списание средств,1397.41,безналичный,Брест,Беларусбанк-FRAQ-957,08-01-2022,18:37:06,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,3194.47,безналичный,Витебск,БелАгропромбанк-WSPN-552,20-03-2001,08:50:21,неправильный ввод пин-кода,да,80.38
юр. лицо,списание средств,2921.85,безналичный,Минск,Приорбанк-NCGA-712,27-08-2007,11:48:00,неправильный ввод пин-кода,нет,0.0
